offset,offset_hex,references,call_references,branch_references,first_ref_hex
622262,0x97eb6,11,0,11,0x9777d
719876,0xafc04,11,0,11,0xaf835
790323,0xc0f33,11,0,11,0xc0da5
815419,0xc713b,11,0,11,0xc70b7
830490,0xcac1a,11,0,11,0xca9fd
881186,0xd7222,11,0,11,0xd6e94
907996,0xddadc,11,0,11,0xdda17
984973,0xf078d,11,0,11,0xf072c
995082,0xf2f0a,11,0,11,0xf2ed1
1007490,0xf5f82,11,0,11,0xf5ee5
1024831,0xfa33f,11,0,11,0xfa22b
1247489,0x130901,11,0,11,0x130b3f
2558,0x9fe,10,0,10,0x90d
17892,0x45e4,10,0,10,0x45b2
39665,0x9af1,10,0,10,0x9a77
65484,0xffcc,10,0,10,0xff07
87334,0x15526,10,0,10,0x15acd
90199,0x16057,10,0,10,0x15f90
99673,0x18559,10,0,10,0x184f4
111873,0x1b501,10,0,10,0x1b2d7
153500,0x2579c,10,0,10,0x252a7
173757,0x2a6bd,10,0,10,0x2a434
204570,0x31f1a,10,0,10,0x31f01
227443,0x37873,10,0,10,0x375f7
263967,0x4071f,10,0,10,0x40651
310031,0x4bb0f,10,0,10,0x4b9da
369630,0x5a3de,10,0,10,0x5a7c3
399263,0x6179f,10,0,10,0x615e4
485767,0x76987,10,0,10,0x76694
486153,0x76b09,10,0,10,0x76991
591624,0x90708,10,0,10,0x906e5
790657,0xc1081,10,0,10,0xc1015
815180,0xc704c,10,0,10,0xc6ff8
860056,0xd1f98,10,0,10,0xd26db
897414,0xdb186,10,0,10,0xdadfb
912622,0xdecee,10,0,10,0xded31
946828,0xe728c,10,0,10,0xe7167
959368,0xea388,10,0,10,0xe6a17
975371,0xee20b,10,0,10,0xee17f
1250756,0x1315c4,10,0,10,0x1316b5
1299384,0x13d3b8,10,0,10,0x13d228
1343376,0x147f90,10,0,10,0x147d57
1346820,0x148d04,10,0,10,0x148bc6
1347467,0x148f8b,10,0,10,0x148d1e
1391038,0x1539be,10,0,10,0x1539da
32508,0x7efc,9,0,9,0x7e91
35298,0x89e2,9,0,9,0x8925
42228,0xa4f4,9,0,9,0xa46a
55497,0xd8c9,9,0,9,0xd90b
56927,0xde5f,9,0,9,0xde30
58789,0xe5a5,9,0,9,0xe852
99248,0x183b0,9,0,9,0x182c2
110744,0x1b098,9,0,9,0x189bf
166687,0x28b1f,9,0,9,0x28a57
182268,0x2c7fc,9,0,9,0x2c6ab
188180,0x2df14,9,0,9,0x2de90
217236,0x35094,9,0,9,0x34eee
395374,0x6086e,9,0,9,0x612d3
442199,0x6bf57,9,0,9,0x6ad0e
469913,0x72b99,9,0,9,0x72b2f
537768,0x834a8,9,0,9,0x83427
540611,0x83fc3,9,0,9,0x83f28
541109,0x841b5,9,0,9,0x84179
545426,0x85292,9,0,9,0x850aa
611288,0x953d8,9,0,9,0x95156
625320,0x98aa8,9,0,9,0x98809
629415,0x99aa7,9,0,9,0x96a65
654819,0x9fde3,9,0,9,0x9fedb
703153,0xabab1,9,0,9,0xabac0
734736,0xb3610,9,0,9,0xb35dd
785974,0xbfe36,9,0,9,0xbfd29
794725,0xc2065,9,0,9,0xc1f34
802072,0xc3d18,9,0,9,0xc3cb7
828536,0xca478,9,0,9,0xca446
839468,0xccf2c,9,0,9,0xccef8
854856,0xd0b48,9,0,9,0xce027
867845,0xd3e05,9,0,9,0xd399f
920672,0xe0c60,9,0,9,0xe0bb4
987541,0xf1195,9,0,9,0xf0d28
1084456,0x108c28,9,0,9,0x1075fb
1114168,0x110038,9,0,9,0x10e847
1236599,0x12de77,9,0,9,0x12db2f
1243956,0x12fb34,9,0,9,0x130fec
1316632,0x141718,9,0,9,0x14169a
1325977,0x143b99,9,0,9,0x143aee
1390922,0x15394a,9,0,9,0x15390c
1394976,0x154920,9,0,9,0x154911
1408786,0x157f12,9,0,9,0x157748
28759,0x7057,8,0,8,0x700c
65161,0xfe89,8,0,8,0xfdb2
73287,0x11e47,8,0,8,0x11c61
73561,0x11f59,8,0,8,0x11e8a
79390,0x1361e,8,0,8,0x135e6
87306,0x1550a,8,0,8,0x15301
89552,0x15dd0,8,0,8,0x15cb0
89958,0x15f66,8,0,8,0x15ef2
90380,0x1610c,8,0,8,0x160a0
