site_offset,site_hex,function,table_base,table_hex,entries,nonzero_code_targets,targets,evidence
"843760","0xcdff0","Colony_Pop_Prod_Produced_","46428","0xb55c","7","3","0:0xce0c6:Colony_Empire_Base_Food2_Produced_;1:0xced47:Colony_Empire_Base_Industry_Produced_;2:0xcfe77:Colony_Empire_Base_Research_Produced_","next Watcom DATA symbol boundary"
"844366","0xce24e","Colony_Pop_Base_Prod_Produced_","46428","0xb55c","7","3","0:0xce0c6:Colony_Empire_Base_Food2_Produced_;1:0xced47:Colony_Empire_Base_Industry_Produced_;2:0xcfe77:Colony_Empire_Base_Research_Produced_","next Watcom DATA symbol boundary"
"1384764","0x15213c","_AILSSA_merge","1377528","0x1504f8","112","72","0:0x151336:_M_0;1:0x151357:_M_1;2:0x15137b:_M_2;3:0x1513a7:_M_3;6:0x1513d9:_M_6;7:0x151405:_M_7;8:0x151437:_M_8;9:0x15145b:_M_9;10:0x151482:_M_10;11:0x1514b0:_M_11;14:0x1514e4:_M_14;15:0x151512:_M_15;16:0x151546:_M_16;17:0x151562:_M_17;18:0x151581:_M_18;19:0x1515a2:_M_19;22:0x1515c9:_M_22;23:0x1515ea:_M_23;24:0x151611:_M_24;25:0x151630:_M_25;26:0x151652:_M_26;27:0x151675:_M_27;30:0x15169e:_M_30;31:0x1516c1:_M_31;32:0x1516ea:_M_32;33:0x151716:_M_33;34:0x151745:_M_34;35:0x15177f:_M_35;38:0x1517bf:_M_38;39:0x1517f9:_M_39;40:0x151839:_M_40;41:0x15186b:_M_41;42:0x1518a0:_M_42;43:0x1518dc:_M_43;46:0x15191e:_M_46;47:0x15195a:_M_47;48:0x15199c:_M_48;49:0x1519c3:_M_49;50:0x1519ed:_M_50;51:0x151a1c:_M_51;54:0x151a51:_M_54;55:0x151a80:_M_55;56:0x151ab5:_M_56;57:0x151ae2:_M_57;58:0x151b12:_M_58;59:0x151b43:_M_59;62:0x151b7a:_M_62;63:0x151bab:_M_63;64:0x151be2:_M_64;65:0x151bfe:_M_65;66:0x151c24:_M_66;67:0x151c45:_M_67;70:0x151c70:_M_70;71:0x151c91:_M_71;72:0x151cbc:_M_72;73:0x151cdb:_M_73;74:0x151d04:_M_74;75:0x151d26:_M_75;78:0x151d52:_M_78;79:0x151d74:_M_79;96:0x151da0:_M_96;97:0x151dc7:_M_97;98:0x151df8:_M_98;99:0x151e27:_M_99;102:0x151e60:_M_102;103:0x151e8f:_M_103;104:0x151ec8:_M_104;105:0x151ef5:_M_105;106:0x151f2c:_M_106;107:0x151f5c:_M_107;110:0x151f96:_M_110;111:0x151fc6:_M_111","indexed Watcom helper names _M_N through 111"
"1385093","0x152285","_AILSSA_DMA_copy","1377016","0x1502f8","128","60","0:0x1506f8:_DC_0;1:0x150709:_DC_1;16:0x150715:_DC_16;17:0x150734:_DC_17;18:0x150748:_DC_18;19:0x150767:_DC_19;24:0x15077b:_DC_24;25:0x150798:_DC_25;26:0x1507aa:_DC_26;27:0x1507c7:_DC_27;32:0x1507d9:_DC_32;33:0x1507ed:_DC_33;36:0x1507fc:_DC_36;37:0x150812:_DC_37;48:0x150823:_DC_48;49:0x150844:_DC_49;50:0x15085a:_DC_50;51:0x15087b:_DC_51;52:0x150891:_DC_52;53:0x1508b6:_DC_53;54:0x1508d0:_DC_54;55:0x1508f5:_DC_55;56:0x15090f:_DC_56;57:0x150932:_DC_57;58:0x15094a:_DC_58;59:0x15096d:_DC_59;60:0x150985:_DC_60;61:0x1509ac:_DC_61;62:0x1509c8:_DC_62;63:0x1509ef:_DC_63;64:0x150a0b:_DC_64;65:0x150a38:_DC_65;80:0x150a60:_DC_80;81:0x150ab9:_DC_81;82:0x150b07:_DC_82;83:0x150b60:_DC_83;88:0x150bae:_DC_88;89:0x150c05:_DC_89;90:0x150c51:_DC_90;91:0x150ca8:_DC_91;96:0x150cf4:_DC_96;97:0x150d24:_DC_97;100:0x150d4f:_DC_100;101:0x150d81:_DC_101;112:0x150dae:_DC_112;113:0x150e09:_DC_113;114:0x150e59:_DC_114;115:0x150eb4:_DC_115;116:0x150f04:_DC_116;117:0x150f63:_DC_117;118:0x150fb7:_DC_118;119:0x151016:_DC_119;120:0x15106a:_DC_120;121:0x1510c7:_DC_121;122:0x151119:_DC_122;123:0x151176:_DC_123;124:0x1511c8:_DC_124;125:0x151229:_DC_125;126:0x15127f:_DC_126;127:0x1512e0:_DC_127","indexed Watcom helper names _DC_N through 127"
