module_index,module,kind,segment,linker_offset,size,name,local_count,locals
138,F:\WLIBS\sound\sound.c,0x24,1,1059050,179,Is_Sound_Playing,3,num;i;j
138,F:\WLIBS\sound\sound.c,0x24,1,1059229,93,Get_Sound_Volume,1,handle
138,F:\WLIBS\sound\sound.c,0x24,1,1059322,98,Set_Sound_Volume,2,handle;volume
138,F:\WLIBS\sound\sound.c,0x24,1,1059420,170,Set_Sound_Volume_All,2,volume;i
138,F:\WLIBS\sound\sound.c,0x24,1,1059590,86,Get_Sound_Pan,1,handle
138,F:\WLIBS\sound\sound.c,0x24,1,1059676,98,Set_Sound_Pan,2,handle;potpos
138,F:\WLIBS\sound\sound.c,0x24,1,1059774,107,Set_Sound_Pan_All,2,potpos;i
138,F:\WLIBS\sound\sound.c,0x24,1,1059881,109,Loop_Sound,2,s;num_loops
138,F:\WLIBS\sound\sound.c,0x24,1,1059990,67,Fadeout_Sound,2,s;dec_val
138,F:\WLIBS\sound\sound.c,0x24,1,1060057,118,Pitch_Bend_Sound,3,s;bend;rate
138,F:\WLIBS\sound\sound.c,0x24,1,1060175,51,Music_On,0,
138,F:\WLIBS\sound\sound.c,0x24,1,1060226,36,Music_Off,0,
138,F:\WLIBS\sound\sound.c,0x24,1,1060262,105,Play_Music_Buffer,2,buffer;error
138,F:\WLIBS\sound\sound.c,0x24,1,1060367,453,Play_Music,4,num;i;recordSize;!playBlock
138,F:\WLIBS\sound\sound.c,0x24,1,1060820,44,Stop_Music,0,
138,F:\WLIBS\sound\sound.c,0x24,1,1060864,44,Resume_Music,0,
138,F:\WLIBS\sound\sound.c,0x24,1,1060908,82,Set_Music_Volume,1,volume
138,F:\WLIBS\sound\sound.c,0x24,1,1060990,61,Get_Music_Volume,0,
138,F:\WLIBS\sound\sound.c,0x24,1,1061051,53,Loop_Music,1,num_loops
138,F:\WLIBS\sound\sound.c,0x24,1,1061104,59,Fade_Music_Down,1,seconds
138,F:\WLIBS\sound\sound.c,0x24,1,1061163,59,Fade_Music_Up,1,seconds
138,F:\WLIBS\sound\sound.c,0x24,1,1061222,85,Is_Music_Playing,0,
138,F:\WLIBS\sound\sound.c,0x24,1,1061307,53,Register_Music_Callback,1,callback
138,F:\WLIBS\sound\sound.c,0x24,1,1061360,645,Sound_Update,5,i;vol;len;b;done
138,F:\WLIBS\sound\sound.c,0x24,1,1062005,597,Play_Sound_File,4,!filename;alt_path; t;s
138,F:\WLIBS\sound\sound.c,0x24,1,1062602,34,Loop_Sound_File,1,loops
138,F:\WLIBS\sound\sound.c,0x24,1,1062636,121,Set_Stream_Filename,3,!filename;i;multiplier
138,F:\WLIBS\sound\sound.c,0x24,1,1062757,699,Play_Stream_Vol,5,num;vol;alt_path; t;s
138,F:\WLIBS\sound\sound.c,0x24,1,1063456,46,Play_Stream,1,num
138,F:\WLIBS\sound\sound.c,0x24,1,1063502,164,Stop_Stream,0,
138,F:\WLIBS\sound\sound.c,0x24,1,1063666,100,Set_Stream_Volume,1,volume
138,F:\WLIBS\sound\sound.c,0x24,1,1063766,86,Get_Stream_Volume,1,volume
138,F:\WLIBS\sound\sound.c,0x24,1,1063852,34,Loop_Stream,1,num_loops
138,F:\WLIBS\sound\sound.c,0x24,1,1063886,90,Is_Stream_Playing,0,
138,F:\WLIBS\sound\sound.c,0x24,1,1063976,67,Fade_Stream_Down,1,dec_val
138,F:\WLIBS\sound\sound.c,0x24,1,1064043,48,Set_Stream_Max_Volume,1,volume_percent
138,F:\WLIBS\sound\sound.c,0x24,1,1064091,34,Get_Stream_Max_Volume,0,
138,F:\WLIBS\sound\sound.c,0x24,1,1064125,62,Fade_Stream_Up,1,inc_val
138,F:\WLIBS\sound\sound.c,0x24,1,1064187,40,Stream_On,0,
138,F:\WLIBS\sound\sound.c,0x24,1,1064227,36,Stream_Off,0,
139,F:\WLIBS\init\init.c,0x24,1,1064263,118,Init_Drivers,2,video_mode;font_file
139,F:\WLIBS\init\init.c,0x24,1,1064381,75,Reset_System,1,re_entrant_reset_system_flag
139,F:\WLIBS\init\init.c,0x24,1,1064456,93,Create_IO_Buffer,1,seg_start
140,F:\WLIBS\fields\fields.c,0x24,1,1064549,45,Get_Field_Counter,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1064594,40,Disable_Cancel,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1064634,40,Enable_Cancel,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1064674,40,Disable_Mouse_Wait,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1064714,40,Enable_Mouse_Wait,0,
